,app_id,app_name,neg,pos,steam_score,wilson
139,200900,Cave Story+,170,"4,475",96.34%,95.67%
140,261030,The Walking Dead: Season Two,785,"18,770",95.99%,95.66%
141,428550,Momodora: Reverie Under the Moonlight,107,"2,940",96.49%,95.66%
142,200260,Batman: Arkham City GOTY,835,"19,899",95.97%,95.66%
143,339800,HuniePop,482,"11,765",96.06%,95.65%
144,545980,Voodoo Vince: Remastered,0,110,100%,95.63%
145,283960,Pajama Sam in No Need to Hide When It's Dark Outside,11,471,97.72%,95.63%
146,35700,Trine,304,"7,583",96.15%,95.63%
147,410890,Higurashi When They Cry Hou - Ch.2 Watanagashi,2,188,98.95%,95.62%
148,406550,Umineko,1,151,99.34%,95.62%
149,240,Counter-Strike: Source,"2,663","60,698",95.80%,95.61%
150,410980,Master of Orion 2,3,222,98.67%,95.60%
151,70300,VVVVVV,234,"5,869",96.17%,95.58%
152,461840,Zenge,51,"1,515",96.74%,95.58%
153,265890,Hexcells,99,"2,691",96.45%,95.58%
154,346010,Besiege,867,"20,183",95.88%,95.56%
155,353270,Hyperdimension Neptunia Re;Birth3 V Generation,66,"1,874",96.60%,95.55%
156,282140,SOMA,394,"9,483",96.01%,95.55%
157,512490,Zombie Estate 2,1,148,99.33%,95.54%
158,428080,Racket: Nx,2,184,98.92%,95.53%
159,248310,Freedom Planet,114,"3,016",96.36%,95.53%
160,24980,Mass Effect 2,370,"8,718",95.93%,95.44%
161,324680,Impossible Creatures,13,506,97.50%,95.44%
162,333600,NEKOPARA Vol. 1,497,"11,499",95.86%,95.43%
163,201790,Orcs Must Die! 2,524,"12,079",95.84%,95.43%
164,239820,Game Dev Tycoon,"1,012","22,696",95.73%,95.43%
165,330830,Tales from the Borderlands,491,"11,380",95.86%,95.43%
166,407310,NEKO-NIN exHeart,4,245,98.39%,95.43%
167,362680,Fran Bow,99,"2,596",96.33%,95.42%
168,8870,BioShock Infinite,"2,902","62,591",95.57%,95.39%
169,342560,Airships: Conquer the Skies,31,961,96.88%,95.38%
